	positive_relation	negative_relation
116_S_1249	466	837
037_S_4410	926	1273
006_S_4153	365	129
116_S_1232	298	142
099_S_4205	190	323
007_S_4467	215	252
128_S_0205	1055	1123
003_S_2374	206	245
036_S_4491	2944	1508
098_S_4059	226	215
031_S_2018	332	258
002_S_4654	369	450
019_S_4285	214	169
141_S_4426	1506	1338
067_S_4072	361	463
037_S_4308	263	264
041_S_4200	246	130
128_S_0200	465	540
129_S_4220	1439	1364
018_S_4313	1036	1262
067_S_0257	1343	491
029_S_1218	139	164
141_S_4053	288	122
136_S_4408	539	371
021_S_2142	262	160
114_S_4404	150	174
116_S_4167	321	484
116_S_4209	521	361
073_S_4360	268	144
072_S_4539	215	153
007_S_2394	597	912
128_S_1407	682	874
109_S_2200	1388	1189
057_S_1269	394	356
022_S_1097	268	331
010_S_0420	102	76
072_S_2083	303	198
014_S_4615	397	203
073_S_4259	269	635
002_S_1268	971	511
024_S_0985	540	318
073_S_4382	264	170
127_S_0684	197	306
067_S_4310	810	375
035_S_0156	199	137
041_S_4427	578	512
127_S_0622	716	398
129_S_4396	151	169
019_S_4477	207	228
002_S_1261	1380	1155
041_S_4271	148	129
003_S_1122	997	991
941_S_2060	203	235
012_S_4094	291	121
129_S_4287	1175	744
135_S_4356	1099	900
136_S_0186	231	206
098_S_4050	207	188
073_S_4155	190	186
073_S_2182	563	504
013_S_4580	187	178
100_S_1286	2251	1260
072_S_2027	1086	684
099_S_4463	381	429
094_S_2201	933	536
099_S_4565	1249	675
129_S_1246	605	599
016_S_4097	995	221
023_S_0376	3070	2054
024_S_4084	1124	684
031_S_4496	216	129
014_S_4079	2058	733
072_S_4102	593	500
032_S_0677	477	268
002_S_4270	360	259
127_S_0259	578	552
041_S_4510	59	73
037_S_0467	145	160
006_S_4192	707	780
137_S_0668	191	162
002_S_2073	520	317
123_S_4526	327	182
003_S_4555	202	277
010_S_4442	574	153
035_S_4082	454	325
037_S_4015	111	222
128_S_4636	247	321
041_S_4513	680	640
098_S_4275	419	397
068_S_4174	303	342
024_S_1063	225	213
068_S_0473	1529	762
073_S_4540	190	111
010_S_4345	77	84
041_S_1010	370	246
018_S_2180	294	329
014_S_0558	329	365
068_S_2171	313	212
029_S_0914	360	182
033_S_0923	365	134
130_S_4660	266	236
014_S_0548	130	127
041_S_4004	782	532
129_S_2332	514	212
137_S_4331	451	259
027_S_0835	157	127
031_S_1066	730	223
126_S_2405	264	223
128_S_4607	713	477
003_S_4136	345	401
013_S_1186	706	392
052_S_4626	379	478
012_S_4545	169	168
006_S_4150	216	158
007_S_1206	281	162
036_S_0673	551	249
032_S_2247	298	894
114_S_1106	741	284
128_S_4609	667	300
082_S_2307	889	553
027_S_2336	269	359
007_S_2106	541	410
033_S_0922	694	454
013_S_4268	763	902
007_S_4620	215	397
014_S_2185	428	350
031_S_4476	204	158
123_S_4170	2066	1794
141_S_0767	563	600
941_S_4255	1069	640
002_S_4213	727	194
003_S_4354	318	433
051_S_1331	379	212
014_S_4577	584	248
130_S_0285	297	210
051_S_1123	847	307
014_S_4080	2425	955
099_S_4202	1096	368
099_S_2042	669	580
153_S_4297	74	43
094_S_4089	1787	751
029_S_4290	98	267
005_S_4168	625	311
072_S_4613	618	312
033_S_4505	97	128
023_S_0625	973	539
123_S_0298	235	94
051_S_1072	494	236
072_S_2116	1914	1035
070_S_4692	442	275
013_S_2324	233	185
137_S_4596	228	314
109_S_4499	190	168
009_S_4612	217	367
099_S_0291	1132	1264
023_S_0126	264	264
068_S_4340	318	451
094_S_4434	283	241
023_S_4501	271	295
023_S_2068	127	269
116_S_4453	174	189
011_S_4366	644	445
082_S_2121	324	317
135_S_4281	843	1146
135_S_4657	473	375
006_S_4346	421	587
012_S_4026	952	1023
016_S_4591	310	345
036_S_2378	753	566
127_S_0925	138	214
006_S_4363	254	480
114_S_0166	149	171
127_S_4198	109	109
029_S_0845	144	105
024_S_4280	194	267
007_S_4488	565	259
067_S_2196	301	268
012_S_4128	389	244
002_S_4171	921	377
129_S_4371	106	224
073_S_4312	189	77
099_S_0352	232	63
021_S_4245	455	182
005_S_4185	277	476
003_S_0908	347	196
130_S_4250	213	132
052_S_1250	285	277
127_S_2234	242	161
035_S_4414	89	136
031_S_4474	404	352
007_S_4516	86	70
130_S_2391	258	431
027_S_1045	420	371
137_S_0972	1429	914
941_S_4376	178	148
006_S_4515	205	137
067_S_4054	145	166
036_S_1023	442	362
068_S_4061	1539	1208
098_S_0171	1070	582
114_S_0378	393	327
098_S_4506	369	332
127_S_4210	227	286
094_S_2216	247	200
127_S_4645	732	205
037_S_0303	199	276
016_S_0359	463	423
033_S_4177	623	226
127_S_2213	378	353
072_S_4103	345	184
003_S_4119	534	450
016_S_0702	290	189
116_S_4625	1447	1033
073_S_0746	753	404
067_S_2301	848	436
023_S_0042	245	233
072_S_4445	254	258
023_S_4020	1115	679
032_S_4348	232	251
035_S_4256	102	214
082_S_1256	299	241
018_S_4257	45	50
021_S_4276	284	224
137_S_4351	401	382
022_S_1351	1500	1681
099_S_4498	345	250
141_S_1255	547	441
098_S_4018	1898	1101
116_S_0834	284	383
128_S_0272	356	264
031_S_4032	394	315
052_S_0671	436	518
100_S_4469	208	241
127_S_1032	435	226
036_S_2380	2275	1286
035_S_2199	173	108
032_S_0479	675	257
128_S_2011	318	299
137_S_4672	138	246
024_S_4392	574	361
010_S_0161	1816	1086
022_S_4320	200	206
005_S_0553	522	270
068_S_2168	226	168
007_S_0068	222	152
002_S_4225	1460	794
037_S_4030	489	275
116_S_4635	967	516
033_S_4176	97	98
128_S_1406	1128	1403
072_S_2093	229	386
072_S_4522	184	251
021_S_0337	1009	236
023_S_4502	227	290
072_S_4390	392	162
021_S_4254	128	149
123_S_0072	429	177
011_S_4075	271	161
100_S_0035	360	224
057_S_2398	1666	1310
018_S_4400	84	69
137_S_4299	2338	866
002_S_4447	1250	300
021_S_0159	375	258
941_S_1202	365	137
019_S_4293	879	289
073_S_2225	506	394
068_S_2194	433	228
011_S_4222	396	306
023_S_0217	1246	501
014_S_0519	487	267
014_S_4328	1559	1260
009_S_4388	516	393
023_S_4115	245	241
023_S_0031	668	363
073_S_4559	480	529
032_S_2119	713	640
127_S_4240	644	683
009_S_2208	266	261
022_S_4173	126	149
014_S_4576	2667	1825
002_S_4237	1034	1080
126_S_0680	1017	278
014_S_4093	586	349
073_S_4443	238	212
023_S_1046	1013	404
137_S_0301	455	272
068_S_0872	639	301
002_S_1280	723	380
011_S_4547	624	233
023_S_0058	244	248
009_S_4337	290	261
041_S_4143	961	456
099_S_4022	885	467
029_S_4384	242	67
114_S_1118	2098	1527
014_S_2308	693	345
128_S_2002	157	186
141_S_0717	352	217
005_S_4707	215	241
130_S_4294	112	247
116_S_4092	610	479
005_S_0610	400	254
037_S_0150	75	213
073_S_4552	304	311
136_S_4433	90	112
032_S_2240	956	1394
022_S_0130	807	410
128_S_0225	243	246
941_S_4292	368	799
098_S_4003	711	200
072_S_2026	3001	1833
153_S_2148	920	664
007_S_4611	111	114
116_S_4010	209	154
099_S_2146	833	582
127_S_0260	460	153
006_S_0731	791	268
037_S_4146	1038	751
067_S_2195	393	222
023_S_0887	280	194
072_S_2164	111	208
068_S_4274	153	201
033_S_1116	236	163
126_S_4514	228	265
